SCHOOL_TYPE,SPORT_CODE,NCAA_DIVISION,NCAA_SUBDIVISION,NCAA_CONFERENCE,FOURYEAR_ELIGIBILITY,FOURYEAR_RETENTION
0.0,33.0,1.0,3.0,Big West Conference,1.0,1.0
0.0,34.0,1.0,3.0,Big West Conference,0.9907,0.9938
0.0,35.0,1.0,3.0,Big West Conference,0.9914,0.9943
0.0,36.0,1.0,3.0,Big West Conference,1.0,1.0
0.0,37.0,1.0,3.0,Big West Conference,1.0,0.9822
0.0,1.0,1.0,1.0,Pac-12 Conference,0.9669,0.9643
0.0,4.0,1.0,1.0,Pac-12 Conference,0.9663,0.9608
0.0,2.0,1.0,1.0,Pac-12 Conference,0.956,0.9512
0.0,3.0,1.0,1.0,Pac-12 Conference,0.9632,0.9684
0.0,6.0,1.0,1.0,Pac-12 Conference,0.9949,0.9894
0.0,11.0,1.0,1.0,Pac-12 Conference,0.9906,0.9604
0.0,13.0,1.0,1.0,Pac-12 Conference,1.0,0.9403
0.0,14.0,1.0,1.0,Pac-12 Conference,0.9688,0.9771
0.0,15.0,1.0,1.0,Pac-12 Conference,0.9744,0.9802
0.0,16.0,1.0,1.0,Pac-12 Conference,0.9878,0.9938
0.0,17.0,1.0,1.0,Pac-12 Conference,1.0,0.9912
0.0,19.0,1.0,1.0,Pac-12 Conference,0.9604,0.97
0.0,21.0,1.0,1.0,Pac-12 Conference,0.9817,0.9907
0.0,25.0,1.0,1.0,Pac-12 Conference,1.0,1.0
0.0,26.0,1.0,1.0,Pac-12 Conference,1.0,0.991
0.0,22.0,1.0,1.0,Pac-12 Conference,0.9876,0.9893
0.0,31.0,1.0,1.0,Pac-12 Conference,0.9804,0.9654
0.0,29.0,1.0,1.0,Pac-12 Conference,0.97,0.9827
0.0,32.0,1.0,1.0,Pac-12 Conference,0.9925,0.9809
0.0,33.0,1.0,1.0,Pac-12 Conference,0.9844,0.9219
0.0,34.0,1.0,1.0,Pac-12 Conference,0.9778,0.9879
0.0,35.0,1.0,1.0,Pac-12 Conference,0.9836,0.9927
0.0,36.0,1.0,1.0,Pac-12 Conference,0.9845,0.9781
0.0,37.0,1.0,1.0,Pac-12 Conference,0.9931,0.9859
0.0,1.0,1.0,3.0,Big West Conference,0.938,0.9328
0.0,2.0,1.0,3.0,Big West Conference,0.961,0.8757
0.0,3.0,1.0,3.0,Big West Conference,0.9808,1.0
0.0,6.0,1.0,3.0,Big West Conference,0.9897,0.9588
0.0,11.0,1.0,3.0,Big West Conference,0.964,0.9559
0.0,13.0,1.0,3.0,Big West Conference,1.0,0.975
0.0,14.0,1.0,3.0,Big West Conference,0.933,1.0
0.0,15.0,1.0,3.0,Big West Conference,0.9125,0.9883
0.0,19.0,1.0,3.0,Big West Conference,0.9111,0.9817
0.0,21.0,1.0,3.0,Big West Conference,0.9859,0.9859
0.0,25.0,1.0,3.0,Big West Conference,0.9891,1.0
0.0,31.0,1.0,3.0,Big West Conference,0.9906,0.9673
0.0,29.0,1.0,3.0,Big West Conference,0.9713,0.9664
0.0,33.0,1.0,3.0,Big West Conference,1.0,1.0
0.0,34.0,1.0,3.0,Big West Conference,0.9768,0.9845
0.0,35.0,1.0,3.0,Big West Conference,0.9768,0.9845
0.0,36.0,1.0,3.0,Big West Conference,0.9628,0.9451
0.0,1.0,1.0,3.0,Big West Conference,0.9746,0.9257
0.0,2.0,1.0,3.0,Big West Conference,0.955,0.9192
0.0,3.0,1.0,3.0,Big West Conference,0.9657,0.9804
0.0,6.0,1.0,3.0,Big West Conference,0.9386,0.9298
0.0,11.0,1.0,3.0,Big West Conference,0.9312,0.935
0.0,12.0,1.0,3.0,Big West Conference,0.9514,0.9753
0.0,13.0,1.0,3.0,Big West Conference,1.0,0.9524
